Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$37,500.00, original: NZ$37,500
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$30,000.00, original: NZ$30,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$28,000.00, original: NZ$28,000
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$48,750.00, original: NZ$48,750
Total Sum: NZ$65,000.00, original: NZ$65,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$48,750.00, original: NZ$48,750
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$48,750.00, original: NZ$48,750
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$84,000.00, original: NZ$84,000
Total Sum: NZ$25,576.00, original: NZ$25,576
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$90,000.00, original: NZ$90,000
Total Sum: NZ$60,000.00, original: NZ$60,000
Total Sum: NZ$60,000.00, original: NZ$60,000
Total Sum: NZ$60,000.00, original: NZ$60,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$65,000.00, original: NZ$65,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$75,000.00, original: NZ$75,000
Total Sum: NZ$32,500.00, original: NZ$32,500
Total Sum: NZ$37,500.00, original: NZ$37,500
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,576.00, original: NZ$25,576
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$25,000.00, original: NZ$25,000
Total Sum: NZ$44,078.00, original: NZ$44,078
Total Sum: NZ$43,658.00, original: NZ$43,658
Total Sum: NZ$47,755.00, original: NZ$47,755
Total Sum: NZ$44,078.00, original: NZ$44,078
Total Sum: NZ$44,078.00, original: NZ$44,078
Total Sum: NZ$51,619.00, original: NZ$51,619
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$63,295.00, original: NZ$63,295
Total Sum: NZ$43,658.00, original: NZ$43,658
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$57,355.00, original: NZ$57,355
Total Sum: NZ$84,520.00, original: NZ$84,520
Total Sum: NZ$55,210.00, original: NZ$55,210
Total Sum: NZ$22,942.00, original: NZ$22,942
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$37,085.00, original: NZ$37,085
Total Sum: NZ$37,085.00, original: NZ$37,085
Total Sum: NZ$37,085.00, original: NZ$37,085
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$37,085.00, original: NZ$37,085
Total Sum: NZ$38,662.00, original: NZ$38,662
Total Sum: NZ$38,662.00, original: NZ$38,662
Total Sum: NZ$38,662.00, original: NZ$38,662
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$41,180.00, original: NZ$41,180
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$41,180.00, original: NZ$41,180
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$47,755.00, original: NZ$47,755
Total Sum: NZ$53,122.00, original: NZ$53,122
Total Sum: NZ$44,078.00, original: NZ$44,078
Total Sum: NZ$43,243.00, original: NZ$43,243
Total Sum: NZ$47,755.00, original: NZ$47,755
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$51,157.00, original: NZ$51,157
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$55,210.00, original: NZ$55,210
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$41,180.00, original: NZ$41,180
Total Sum: NZ$51,157.00, original: NZ$51,157
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$43,243.00, original: NZ$43,243
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$51,157.00, original: NZ$51,157
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$45,079.00, original: NZ$45,079
Total Sum: NZ$41,184.00, original: NZ$41,184
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$48,391.00, original: NZ$48,391
Total Sum: NZ$48,391.00, original: NZ$48,391
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$39,211.00, original: NZ$39,211
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$39,211.00, original: NZ$39,211
Total Sum: NZ$62,933.00, original: NZ$62,933
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$37,085.00, original: NZ$37,085
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$43,646.00, original: NZ$43,646
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$39,995.00, original: NZ$39,995
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,564.00, original: NZ$50,564
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$41,180.00, original: NZ$41,180
Total Sum: NZ$41,180.00, original: NZ$41,180
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$43,239.00, original: NZ$43,239
Total Sum: NZ$44,502.00, original: NZ$44,502
Total Sum: NZ$43,239.00, original: NZ$43,239
Total Sum: NZ$46,282.00, original: NZ$46,282
Total Sum: NZ$44,502.00, original: NZ$44,502
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$43,243.00, original: NZ$43,243
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$43,243.00, original: NZ$43,243
Total Sum: NZ$43,243.00, original: NZ$43,243
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$43,243.00, original: NZ$43,243
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
Total Sum: NZ$50,810.00, original: NZ$50,810
